param_SVM__n_iter,train acc,test acc
1,0.708964622390633,0.6810469077568134
2,0.6768092715949529,0.6696557258909853
4,0.7636155728114031,0.7471583464360586
8,0.7925772649637834,0.7649780529350104
16,0.7729230932879482,0.7458071278825996
32,0.7981953947091137,0.766452109538784
64,0.8005892588704936,0.7655840539832285
128,0.79814321238407,0.7637906184486374
256,0.7963599817763266,0.7673201650943398
512,0.797353954717784,0.7650927017819706
1024,0.796910906708038,0.7637906184486374
2048,0.7977970027275301,0.7676968684486374
